run_id,runner_name,timestamp,dataset,dataset_preset,experiment_axis,scale_group,model,context_strategy,k,retrieval_metric,random_seed,fit_rows,test_rows_total,test_rows_used,n_features,n_classes,accuracy,balanced_accuracy,macro_f1,probabilities_available,mean_confidence,correct_mean_confidence,wrong_mean_confidence,confidence_gap,fit_time_seconds,predict_time_seconds,wall_time_seconds,seconds_per_test_sample,peak_memory_mb,success,error_type,error_message,metrics_path
run_20260618_175703,吴兆临,2026-06-18T17:57:03,mfeat-morphological_2000rows_6feat_multiclass,mfeat-morphological,feature_scale,F1_6_20,tabicl,random_k,256,,42,1600,400,100,6,10,0.73,0.7565241702741703,0.7376482495832342,True,0.779187530875206,0.8320131816276132,0.6363626232853642,0.19565055834224898,41.48237359998893,181.37901369998508,223.58739549999882,2.235873954999988,1101.234375,True,,,D:\Codex项目\人工智能2大作业\results\innovation\retrieval_context\吴兆临\mfeat-morphological_2000rows_6feat_multiclass\random_k_256\run_20260618_175703\metrics.csv
run_20260618_170813,吴兆临,2026-06-18T17:08:13,mfeat-morphological_2000rows_6feat_multiclass,mfeat-morphological,feature_scale,F1_6_20,tabicl,retrieval_k,256,,42,1600,400,100,6,10,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,335.33945250000033,3.3533945250000032,1089.98046875,False,ValueError,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (100,) + inhomogeneous part.",D:\Codex项目\人工智能2大作业\results\innovation\retrieval_context\吴兆临\mfeat-morphological_2000rows_6feat_multiclass\retrieval_k_256\run_20260618_170813\metrics.csv
run_20260618_180046,吴兆临,2026-06-18T18:00:46,mfeat-morphological_2000rows_6feat_multiclass,mfeat-morphological,feature_scale,F1_6_20,tabicl,retrieval_k,256,,42,1600,400,100,6,10,0.74,0.7544246031746031,0.7292404590294617,True,0.7946100258827209,0.8392465468999502,0.667567619910607,0.17167892698934317,39.11949229996753,168.17797840003186,207.91209829999934,2.0791209829999935,1094.76171875,True,,,D:\Codex项目\人工智能2大作业\results\innovation\retrieval_context\吴兆临\mfeat-morphological_2000rows_6feat_multiclass\retrieval_k_256\run_20260618_180046\metrics.csv
run_20260618_225104,吴兆临,2026-06-18T22:51:04,mfeat-morphological_2000rows_6feat_multiclass,mfeat-morphological,feature_scale,F1_6_20,tabicl,retrieval_k,512,cosine,42,1600,400,100,6,10,0.73,0.7363888888888889,0.7097891706160413,True,0.7997230190038681,0.8513122543896714,0.6602410122200295,0.19107124216964189,69.09552870001062,644.2237069999828,713.9793343000056,7.139793343000056,618.8359375,True,,,D:\Codex项目\人工智能2大作业\results\innovation\retrieval_context\吴兆临\mfeat-morphological_2000rows_6feat_multiclass\retrieval_k_cosine_512\run_20260618_225104\metrics.csv
run_20260618_222150,吴兆临,2026-06-18T22:21:50,mfeat-morphological_2000rows_6feat_multiclass,mfeat-morphological,feature_scale,F1_6_20,tabicl,retrieval_k,64,cosine,42,1600,400,100,6,10,0.68,0.6951316738816739,0.6816895604395604,True,0.7947180414199829,0.8630283439860624,0.6495586484670639,0.21346969551899853,59.2290553999992,103.66503229997761,163.5243169999958,1.635243169999958,571.04296875,True,,,D:\Codex项目\人工智能2大作业\results\innovation\retrieval_context\吴兆临\mfeat-morphological_2000rows_6feat_multiclass\retrieval_k_cosine_64\run_20260618_222150\metrics.csv
run_20260618_224359,吴兆临,2026-06-18T22:43:59,mfeat-morphological_2000rows_6feat_multiclass,mfeat-morphological,feature_scale,F1_6_20,tabicl,retrieval_k,512,euclidean,42,1600,400,100,6,10,0.75,0.7606746031746032,0.7366666409717726,True,0.7984642177820206,0.8406385970115662,0.6719410800933838,0.16869751691818236,43.625632299917925,378.3763242999921,424.2401910999979,4.242401910999979,626.15625,True,,,D:\Codex项目\人工智能2大作业\results\innovation\retrieval_context\吴兆临\mfeat-morphological_2000rows_6feat_multiclass\retrieval_k_euclidean_512\run_20260618_224359\metrics.csv
run_20260618_221851,吴兆临,2026-06-18T22:18:51,mfeat-morphological_2000rows_6feat_multiclass,mfeat-morphological,feature_scale,F1_6_20,tabicl,retrieval_k,64,euclidean,42,1600,400,100,6,10,0.68,0.693313492063492,0.6760877684407096,True,0.79369021743536,0.8674847106723225,0.6368769193068147,0.2306077913655078,64.50720310000179,112.9712265999915,179.59441679999873,1.7959441679999872,556.125,True,,,D:\Codex项目\人工智能2大作业\results\innovation\retrieval_context\吴兆临\mfeat-morphological_2000rows_6feat_multiclass\retrieval_k_euclidean_64\run_20260618_221851\metrics.csv
run_20260618_222434,吴兆临,2026-06-18T22:24:34,mfeat-morphological_2000rows_6feat_multiclass,mfeat-morphological,feature_scale,F1_6_20,tabicl,retrieval_k,64,weighted_euclidean,42,1600,400,100,6,10,0.67,0.684222582972583,0.6696549300723873,True,0.7949470412731171,0.8716085975739494,0.6393008512077909,0.23230774636615847,37.27496749997954,55.14738190006028,92.99360399999568,0.9299360399999569,565.8984375,True,,,D:\Codex项目\人工智能2大作业\results\innovation\retrieval_context\吴兆临\mfeat-morphological_2000rows_6feat_multiclass\retrieval_k_weighted_euclidean_64\run_20260618_222434\metrics.csv
run_20260619_122150,吴兆临,2026-06-19T12:21:50,mfeat-zernike_2000rows_47feat_multiclass,mfeat-zernike,feature_scale,F2_20_100,tabicl,full,,,42,1600,400,100,47,10,0.95,0.9451785714285714,0.9453494443845074,True,0.8958005037903786,0.9165716271651418,0.501149159669876,0.4154224674952658,11.343341400001009,75.61729009999908,86.9904230000011,0.869904230000011,3468.9453125,True,,,D:\Codex项目\人工智能2大作业\results\innovation\retrieval_context\吴兆临\mfeat-zernike_2000rows_47feat_multiclass\full\run_20260619_122150\metrics.csv
run_20260619_161658,吴兆临,2026-06-19T16:16:58,mfeat-zernike_2000rows_47feat_multiclass,mfeat-zernike,feature_scale,F2_20_100,tabicl,full,,,42,1600,400,50,47,10,0.82,0.8383333333333333,0.8328454225513049,True,0.8306221646070481,0.8962625039786827,0.5315939519140456,0.3646685520646371,3.452476900001784,34.18961349999881,37.662232999999105,0.7532446599999821,3440.31640625,True,,,D:\Codex项目\人工智能2大作业\results\innovation\retrieval_context\吴兆临\mfeat-zernike_2000rows_47feat_multiclass\full\run_20260619_161658\metrics.csv
