true_label,pred_1,pred_10,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9
1,40,0,0,0,0,0,0,0,0,0
10,0,30,0,0,0,0,0,10,0,0
2,0,0,36,0,2,0,1,0,1,0
3,0,0,0,40,0,0,0,0,0,0
4,0,0,1,0,39,0,0,0,0,0
5,0,0,1,0,0,37,0,0,2,0
6,0,0,0,0,0,0,40,0,0,0
7,0,8,0,1,0,0,0,31,0,0
8,0,0,0,1,1,4,0,0,34,0
9,0,0,0,0,0,0,0,0,0,40
