true_label,pred_1,pred_10,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9
1,38,1,0,0,0,1,0,0,0,0
10,0,40,0,0,0,0,0,0,0,0
2,0,0,40,0,0,0,0,0,0,0
3,0,0,0,40,0,0,0,0,0,0
4,0,0,0,1,37,0,2,0,0,0
5,0,0,2,0,0,38,0,0,0,0
6,1,1,0,0,2,0,36,0,0,0
7,0,0,1,0,2,2,1,31,0,3
8,0,3,0,0,0,0,0,0,37,0
9,2,0,0,0,0,0,1,0,0,37
