true_label,pred_1,pred_10,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9
1,40,0,0,0,0,0,0,0,0,0
10,0,14,0,0,0,0,0,26,0,0
2,0,0,38,0,0,1,0,0,1,0
3,0,0,0,31,3,0,6,0,0,0
4,0,0,0,1,22,8,7,0,2,0
5,0,0,0,0,8,29,0,0,3,0
6,0,0,0,5,4,1,30,0,0,0
7,0,30,0,0,0,0,0,10,0,0
8,0,0,1,1,4,4,0,0,30,0
9,0,0,0,0,0,0,0,0,0,40
