model,dataset,experiment_axis,scale_group,metric,mean,std,min,max,relative_std,n_runs
lightgbm,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,wall_time_seconds,0.3115292499842326,0.05805834574992761,0.2704757999999856,0.3525826999684796,0.18636563261031225,2
lightgbm,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,seconds_per_test_sample,9.99727487000183e-06,1.7149852703669485e-06,8.784597155690316e-06,1.1209952584313344e-05,0.17154527535428607,2
lightgbm,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,peak_memory_mb,157.955078125,20.735353931122702,143.29296875,172.6171875,0.1312737404663463,2
lightgbm,kc1_2109rows_21feat_binclass,sample_scale,A_1000_3000,training_throughput,201686.69493919698,77682.62270736042,146756.78564246633,256616.6042359276,0.38516483564163523,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,accuracy,0.9675,0.0,0.9675,0.9675,0.0,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,balanced_accuracy,0.9675,0.0,0.9675,0.9675,0.0,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,macro_f1,0.9673458371384378,0.0,0.9673458371384378,0.9673458371384378,0.0,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,mean_confidence,0.9910067993222624,0.0,0.9910067993222624,0.9910067993222624,0.0,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,correct_mean_confidence,0.996671159040672,0.0,0.996671159040672,0.996671159040672,0.0,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,wrong_mean_confidence,0.8223831677049913,0.0,0.8223831677049913,0.8223831677049913,0.0,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,confidence_gap,0.1742879913356807,0.0,0.1742879913356807,0.1742879913356807,0.0,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,fit_time_seconds,2.4686485500021718,0.5647152037316667,2.0693346000043675,2.867962499999976,0.22875479935415266,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,predict_time_seconds,0.0111817499946482,0.002442558962081494,0.0094545999891124,0.012908900000184,0.21844156444658033,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,wall_time_seconds,2.6603410000018357,0.38754344787730594,2.3863064000033773,2.934375600000294,0.14567435072309848,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,seconds_per_test_sample,2.7954374986620677e-05,6.106397405203755e-06,2.3636499972781165e-05,3.227225000046019e-05,0.21844156444657967,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,peak_memory_mb,200.697265625,20.221596660416854,186.3984375,214.99609375,0.1007567123420636,2
lightgbm,mfeat-factors_2000rows_216feat_multiclass,feature_scale,F3_100_300,training_throughput,143756.937361146,32885.08936181645,120503.66767348,167010.207048812,0.2287547993541527,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,accuracy,0.8725,0.0,0.8725,0.8725,0.0,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,balanced_accuracy,0.8724999999999999,0.0,0.8724999999999999,0.8724999999999999,0.0,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,macro_f1,0.871777208722768,0.0,0.871777208722768,0.871777208722768,0.0,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,mean_confidence,0.9578671175312924,0.0,0.9578671175312924,0.9578671175312924,0.0,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,correct_mean_confidence,0.9770543206220716,0.0,0.9770543206220716,0.9770543206220716,0.0,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,wrong_mean_confidence,0.8265664532434124,0.0,0.8265664532434124,0.8265664532434124,0.0,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,confidence_gap,0.1504878673786591,0.0,0.1504878673786591,0.1504878673786591,0.0,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,fit_time_seconds,1.903380700020648,0.30232081726147547,1.6896076000411997,2.1171538000000965,0.15883360446924563,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,predict_time_seconds,0.0138495000193188,0.0004965304092265146,0.0134983999998894,0.0142006000387482,0.03585186530444417,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,wall_time_seconds,2.0550285499978145,0.15548705362104434,1.9450825999956576,2.164974499999971,0.07566174865123391,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,seconds_per_test_sample,3.4623750048297096e-05,1.2413260230662688e-06,3.374599999972361e-05,3.550150009687058e-05,0.035851865304443564,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,peak_memory_mb,191.34375,19.091883092036785,177.84375,204.84375,0.09977792894744032,2
lightgbm,mfeat-fourier_2000rows_76feat_multiclass,feature_scale,F2_20_100,training_throughput,64702.48690554679,10276.929213332172,57435.60056902548,71969.3732420681,0.15883360446924577,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,accuracy,0.9475,0.0,0.9475,0.9475,0.0,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,balanced_accuracy,0.9475,0.0,0.9475,0.9475,0.0,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,macro_f1,0.94700048315746,0.0,0.94700048315746,0.94700048315746,0.0,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,mean_confidence,0.9822483100145428,0.0,0.9822483100145428,0.9822483100145428,0.0,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,correct_mean_confidence,0.9895534965448438,0.0,0.9895534965448438,0.9895534965448438,0.0,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,wrong_mean_confidence,0.8504070864438692,0.0,0.8504070864438692,0.8504070864438692,0.0,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,confidence_gap,0.1391464101009746,0.0,0.1391464101009746,0.1391464101009746,0.0,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,fit_time_seconds,1.6509560999869561,0.2675533668275954,1.4617672999738716,1.8401449000000407,0.16205964945385845,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,predict_time_seconds,0.0109630500006687,0.003060711701350849,0.0087988000013865,0.0131272999999509,0.2791843238117275,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,wall_time_seconds,1.7969904500150733,0.12734561791876983,1.70694350003032,1.8870373999998264,0.07086605157957386,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,seconds_per_test_sample,2.740762500167193e-05,7.651779253377188e-06,2.1997000003466384e-05,3.281824999987748e-05,0.279184323811728,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,peak_memory_mb,185.470703125,20.122159769312496,171.2421875,199.69921875,0.10849238952715323,2
lightgbm,mfeat-karhunen_2000rows_64feat_multiclass,feature_scale,F2_20_100,training_throughput,62849.990608015796,10185.447446113349,55647.79164944984,70052.18956658174,0.16205964945385865,2
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,accuracy,0.71,0.0,0.71,0.71,0.0,2
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,balanced_accuracy,0.71,0.0,0.71,0.71,0.0,2
lightgbm,mfeat-morphological_2000rows_6feat_multiclass,feature_scale,F1_6_20,macro_f1,0.7107758647139355,0.0,0.7107758647139355,0.7107758647139355,0.0,2
