run_id,runner_name,timestamp,dataset,dataset_preset,experiment_axis,scale_group,model,context_strategy,k,retrieval_metric,random_seed,fit_rows,test_rows_total,test_rows_used,n_features,n_classes,accuracy,balanced_accuracy,macro_f1,probabilities_available,mean_confidence,correct_mean_confidence,wrong_mean_confidence,confidence_gap,fit_time_seconds,predict_time_seconds,wall_time_seconds,seconds_per_test_sample,peak_memory_mb,success,error_type,error_message,metrics_path
run_20260618_221703,smoke_distance_k64,2026-06-18T22:17:03,pc1_1109rows_21feat_binclass,pc1,sample_scale,A_1000_3000,tabicl,retrieval_k,64,cosine,42,887,222,1,21,2,1.0,1.0,1.0,True,1.0,1.0,nan,nan,0.6807811999969999,1.7292144000020926,2.4331048999956693,2.4331048999956693,582.765625,True,,,D:\Codex项目\人工智能2大作业\results\innovation\retrieval_context\smoke_distance_k64\pc1_1109rows_21feat_binclass\retrieval_k_cosine_64\run_20260618_221703\metrics.csv
run_20260618_221658,smoke_distance_k64,2026-06-18T22:16:58,pc1_1109rows_21feat_binclass,pc1,sample_scale,A_1000_3000,tabicl,retrieval_k,64,euclidean,42,887,222,1,21,2,1.0,1.0,1.0,True,1.0,1.0,nan,nan,0.5955680999977631,1.8858315999968909,5.409981899996637,5.409981899996637,571.78515625,True,,,D:\Codex项目\人工智能2大作业\results\innovation\retrieval_context\smoke_distance_k64\pc1_1109rows_21feat_binclass\retrieval_k_euclidean_64\run_20260618_221658\metrics.csv
run_20260618_221705,smoke_distance_k64,2026-06-18T22:17:05,pc1_1109rows_21feat_binclass,pc1,sample_scale,A_1000_3000,tabicl,retrieval_k,64,weighted_euclidean,42,887,222,1,21,2,1.0,1.0,1.0,True,1.0,1.0,nan,nan,0.6706926999977441,1.5594761000029393,2.2646596999984467,2.2646596999984467,565.65625,True,,,D:\Codex项目\人工智能2大作业\results\innovation\retrieval_context\smoke_distance_k64\pc1_1109rows_21feat_binclass\retrieval_k_weighted_euclidean_64\run_20260618_221705\metrics.csv
